Subject,Course Id,Name,Section Code,Start Date,End Date,Type,Start,End,Days,Room Number,Building,Instructors
ACCY,451,Advanced Income Tax Problems,D3,2024-08-26Z,2024-12-11Z,Lecture-Discussion,08:00 AM,09:20 AM,TR,2057,Business Instructional Fac,[]
ACCY,451,Advanced Income Tax Problems,D4,2024-08-26Z,2024-12-11Z,Lecture-Discussion,08:00 AM,09:20 AM,TR,2057,Business Instructional Fac,[]
ACCY,451,Advanced Income Tax Problems,E3,2024-08-26Z,2024-12-11Z,Lecture-Discussion,12:30 PM,01:50 PM,TR,3009,Business Instructional Fac,[]
ACCY,451,Advanced Income Tax Problems,E4,2024-08-26Z,2024-12-11Z,Lecture-Discussion,12:30 PM,01:50 PM,TR,3009,Business Instructional Fac,[]
ACCY,500,"Accounting Measurement, Reporting, and Control",C2,2024-08-26Z,2024-10-18Z,Lecture-Discussion,12:30 PM,01:50 PM,TR,3041,Business Instructional Fac,[]
ACCY,500,"Accounting Measurement, Reporting, and Control",P2,2024-08-26Z,2024-10-18Z,Lecture-Discussion,11:00 AM,12:20 PM,TR,1025,Business Instructional Fac,[]
ACCY,501,Accounting Analysis I,MSF,2024-08-26Z,2024-12-11Z,Lecture-Discussion,03:30 PM,04:50 PM,TR,3063,Business Instructional Fac,[]
ACCY,502,Accounting Analysis II,A4,2024-08-26Z,2024-12-11Z,Lecture-Discussion,09:30 AM,10:50 AM,MW,3057,Business Instructional Fac,[]
ACCY,502,Accounting Analysis II,B4,2024-08-26Z,2024-12-11Z,Lecture-Discussion,12:30 PM,01:50 PM,MW,3063,Business Instructional Fac,[]
ACCY,502,Accounting Analysis II,E4,2024-08-26Z,2024-12-11Z,Lecture-Discussion,08:00 AM,09:20 AM,MW,3057,Business Instructional Fac,[]
ACCY,503,Managerial Accounting,A2,2024-08-26Z,2024-10-18Z,Lecture-Discussion,12:30 PM,01:50 PM,TR,2005,Business Instructional Fac,[]
ACCY,503,Managerial Accounting,C2,2024-08-26Z,2024-10-18Z,Lecture-Discussion,08:00 AM,09:20 AM,TR,3041,Business Instructional Fac,[]
